"emp_no","emp_title_id","birth_date","first_name","last_name","sex","hire_date"
38161,"s0001","10/12/1964","Hercules","Baer","M","2/17/1988"
276181,"s0001","10/17/1957","Hercules","Biron","F","12/7/1994"
236650,"e0002","12/24/1964","Hercules","Birge","F","4/13/1994"
482148,"e0003","4/5/1954","Hercules","Berstel","F","11/2/1989"
210097,"e0003","8/27/1954","Hercules","Bernatsky","M","11/27/1985"
213553,"e0003","8/14/1961","Hercules","Bail","F","6/16/1987"
250175,"s0001","2/13/1959","Hercules","Bodoff","M","9/14/1985"
461517,"s0001","7/20/1963","Hercules","Benantar","F","6/8/1989"
89844,"e0002","3/1/1954","Hercules","Basagni","M","10/25/1991"
89382,"s0001","9/3/1964","Hercules","Bernardinello","F","2/13/1987"
20780,"s0001","11/17/1954","Hercules","Baranowski","M","3/9/1991"
241391,"e0003","2/27/1962","Hercules","Bisiani","F","7/19/1985"
10282,"e0002","11/27/1953","Hercules","Benzmuller","M","6/4/1986"
435221,"e0002","10/17/1957","Hercules","Bahr","M","4/6/1995"
90712,"e0002","8/28/1954","Hercules","Biran","F","9/7/1994"
294352,"s0001","7/16/1952","Hercules","Bain","F","10/17/1987"
11337,"s0001","7/31/1964","Hercules","Brendel","F","11/20/1994"
279195,"s0002","8/14/1964","Hercules","Buchter","M","4/16/1991"
21870,"e0003","7/6/1960","Hercules","Barreiro","M","11/18/1988"
438081,"e0002","10/15/1960","Hercules","Baak","M","7/31/1991"
